"","p_val","log2FoldChange","pct.1","pct.2","padj"
"UQCRC1",0.405325267487787,0.0397639500477669,0.16,0.085,1
"ELOF1",0.405334788209138,0.0529073719539272,0.155,0.119,1
"YIPF4",0.405577257165691,0.0328257602326607,0.121,0.102,1
"SSR1",0.406445764945174,0.0470520178214985,0.141,0.116,1
"TXNL4A",0.406990308558118,0.040918837147572,0.136,0.104,1
"DEK",0.407042694078293,0.182071594791132,0.279,0.176,1
"SIGIRR",0.407202767337687,0.17533839360381,0.303,0.2,1
"PRKAG1",0.407537021196246,0.0157888448185573,0.106,0.084,1
"CUTA",0.407712572617717,0.173811261486392,0.544,0.456,1
"NSFL1C",0.407868397796921,0.0202692678012265,0.106,0.09,1
"RPL14",0.407983200520854,0.246687784298854,0.998,0.995,1
"PTPMT1",0.408093781070922,0.0351332544077349,0.123,0.102,1
"NFATC3",0.408188734913077,0.0223218146577903,0.109,0.092,1
"ANXA11",0.408212401832377,0.1657927756334,0.338,0.235,1
"HSPA5",0.408224426592114,0.190978565065787,0.266,0.154,1
"ATP5L",0.408516475964723,0.128742284375736,0.739,0.674,1
"ATP5EP2",0.408821996688191,0.081919051487366,0.285,0.227,1
"TSPAN14",0.410048724383551,0.0347216029654014,0.128,0.101,1
"SOD1",0.410068922505748,0.182989769229968,0.677,0.565,1
"JAK1",0.410283712319949,0.186342032169361,0.242,0.177,1
"ANAPC11",0.410538561275834,0.201945337364485,0.247,0.177,1
"SMARCB1",0.411411863962355,0.0246278664061224,0.111,0.092,1
"GNLY",0.411419952421302,0.0264501313783183,0.114,0.09,1
"SLC3A2",0.412093672383133,0.0736780006409175,0.214,0.162,1
"CLTA",0.412149294671147,0.0760671299914789,0.231,0.196,1
"JAGN1",0.41262346087568,0.0429391520825673,0.143,0.102,1
"WDR33",0.412645872880963,0.0410095400871223,0.133,0.106,1
"GPR183",0.413403217089529,0.200359786133622,0.247,0.111,1
"TUBA1A",0.414765927741857,0.0904753282752433,0.51,0.415,1
"COX16",0.415371894986642,0.058783785341223,0.165,0.126,1
"TCF25",0.415503874400686,0.18216210547474,0.291,0.157,1
"HINT2",0.415828705265207,0.0429391520825673,0.133,0.106,1
"SAE1",0.416377007412586,0.0290476778461036,0.116,0.092,1
"PHB",0.416438435821618,0.077299272874071,0.261,0.184,1
"AKR1A1",0.41687098086203,0.0307566869370408,0.121,0.094,1
"PSMF1",0.418313717505622,0.0639479832463213,0.189,0.137,1
"ATP5C1",0.418943511254723,0.167026656919283,0.348,0.235,1
"VBP1",0.419015382488356,0.0341555934993283,0.14,0.084,1
"C11orf73",0.419331818410408,0.0550949311916912,0.157,0.118,1
"COA4",0.419945983117962,0.0286782322704357,0.114,0.092,1
"SOCS1",0.420409198753664,0.0160616433522035,0.101,0.082,1
"ARL2",0.421391330281189,0.0448544621172527,0.135,0.109,1
"MEA1",0.421542878913862,0.0454349884679177,0.136,0.106,1
"PEX16",0.421611674002084,0.0449504951762107,0.135,0.111,1
"EIF4B",0.421632593108573,0.0794762689728222,0.315,0.251,1
"SUPT4H1",0.422394553457003,0.0767869665492086,0.217,0.164,1
"GADD45GIP1",0.422563821676894,0.0845949649127742,0.305,0.235,1
"LINC-PINT",0.422765122827343,0.0326676923940397,0.109,0.106,1
"RABGGTB",0.42294767335943,0.0181429015072306,0.101,0.087,1
"PSMD11",0.423103102308352,0.0202692678012265,0.106,0.085,1
"INTS10",0.423839001766066,0.0268022376404595,0.109,0.092,1
"ZNF24",0.424210302273191,0.0330646642726921,0.116,0.097,1
"GTF3C6",0.424453972006341,0.0609614386465932,0.168,0.123,1
"EIF4A3",0.424630783084547,0.046559499750515,0.145,0.104,1
